search_n=100, original simulation backup, loop realplay, maxQ --------------------------------
2019-02-12T15:58:47.627314  START
2019-02-12T16:18:49.554974  iter: 372, results: 0.9393939393939394
2019-02-12T16:18:51.259066  iter: 373, results: 0.9393939393939394
2019-02-12T16:18:52.797882  iter: 374, results: 0.9393939393939394
2019-02-12T16:18:54.348054  iter: 375, results: 0.9393939393939394
2019-02-12T16:18:55.890771  iter: 376, results: 0.9393939393939394
2019-02-12T16:18:57.435789  iter: 377, results: 0.9393939393939394
2019-02-12T16:18:59.111996  iter: 378, results: 0.9393939393939394
2019-02-12T16:19:00.811021  iter: 379, results: 0.9393939393939394
2019-02-12T16:19:02.339408  iter: 380, results: 0.9393939393939394
2019-02-12T16:19:03.872237  iter: 381, results: 0.9393939393939394
2019-02-12T16:19:05.398402  iter: 382, results: 0.9393939393939394
2019-02-12T16:19:06.907654  iter: 383, results: 0.9393939393939394
2019-02-12T16:19:08.489396  iter: 384, results: 0.9393939393939394
2019-02-12T16:19:10.016174  iter: 385, results: 0.9393939393939394
2019-02-12T16:19:11.575002  iter: 386, results: 0.9393939393939394
2019-02-12T16:19:13.071125  iter: 387, results: 0.9393939393939394
2019-02-12T16:19:14.585220  iter: 388, results: 0.9393939393939394
2019-02-12T16:19:16.131508  iter: 389, results: 0.9393939393939394
2019-02-12T16:19:17.712638  iter: 390, results: 0.9393939393939394
2019-02-12T16:19:19.429439  iter: 391, results: 0.9393939393939394
2019-02-12T16:19:21.017589  iter: 392, results: 0.9393939393939394
2019-02-12T16:19:22.554338  iter: 393, results: 0.9393939393939394
2019-02-12T16:19:24.195419  iter: 394, results: 0.9393939393939394
2019-02-12T16:19:25.772022  iter: 395, results: 0.9393939393939394
2019-02-12T16:19:27.841125  iter: 396, results: 0.9393939393939394
2019-02-12T16:19:30.720911  iter: 397, results: 0.9393939393939394
2019-02-12T16:19:32.495955  iter: 398, results: 0.9393939393939394
2019-02-12T16:19:34.109247  iter: 399, results: 0.9393939393939394
2019-02-12T16:19:35.717974  iter: 400, results: 0.9393939393939394
2019-02-12T16:19:37.217878  iter: 401, results: 0.9393939393939394
2019-02-12T16:19:38.745510  iter: 402, results: 0.9393939393939394
2019-02-12T16:19:40.294472  iter: 403, results: 0.9393939393939394
2019-02-12T16:19:41.798323  iter: 404, results: 0.9393939393939394
2019-02-12T16:19:43.390184  iter: 405, results: 0.9393939393939394
2019-02-12T16:19:45.005482  iter: 406, results: 0.9393939393939394
